As of Date,Region,Total Patients Hospitalized,Total Patients in ICU
06/26/2021,CAPITAL REGION,9,3
06/26/2021,CENTRAL NEW YORK,10,5
06/26/2021,FINGER LAKES,35,8
06/26/2021,LONG ISLAND,58,13
06/26/2021,MID-HUDSON,21,4
06/26/2021,MOHAWK VALLEY,6,2
06/26/2021,NEW YORK CITY,159,43
06/26/2021,NORTH COUNTRY,5,0
06/26/2021,SOUTHERN TIER,12,1
06/26/2021,WESTERN NEW YORK,15,6
06/27/2021,CAPITAL REGION,11,4
06/27/2021,CENTRAL NEW YORK,12,4
06/27/2021,FINGER LAKES,35,10
06/27/2021,LONG ISLAND,64,15
06/27/2021,MID-HUDSON,18,4
06/27/2021,MOHAWK VALLEY,7,3
06/27/2021,NEW YORK CITY,164,42
06/27/2021,NORTH COUNTRY,6,1
06/27/2021,SOUTHERN TIER,13,0
06/27/2021,WESTERN NEW YORK,16,6
06/28/2021,CAPITAL REGION,10,4
06/28/2021,CENTRAL NEW YORK,13,5
06/28/2021,FINGER LAKES,41,10
06/28/2021,LONG ISLAND,66,13
06/28/2021,MID-HUDSON,22,4
06/28/2021,MOHAWK VALLEY,10,3
06/28/2021,NEW YORK CITY,166,44
06/28/2021,NORTH COUNTRY,6,1
06/28/2021,SOUTHERN TIER,12,1
06/28/2021,WESTERN NEW YORK,16,6
06/29/2021,CAPITAL REGION,10,4
06/29/2021,CENTRAL NEW YORK,11,4
06/29/2021,FINGER LAKES,39,10
06/29/2021,LONG ISLAND,66,15
06/29/2021,MID-HUDSON,24,6
06/29/2021,MOHAWK VALLEY,11,3
06/29/2021,NEW YORK CITY,168,42
06/29/2021,NORTH COUNTRY,4,0
06/29/2021,SOUTHERN TIER,11,1
06/29/2021,WESTERN NEW YORK,20,6
06/30/2021,CAPITAL REGION,9,4
06/30/2021,CENTRAL NEW YORK,12,4
06/30/2021,FINGER LAKES,35,7
06/30/2021,LONG ISLAND,65,15
06/30/2021,MID-HUDSON,29,6
06/30/2021,MOHAWK VALLEY,8,2
06/30/2021,NEW YORK CITY,175,42
06/30/2021,NORTH COUNTRY,6,0
06/30/2021,SOUTHERN TIER,12,1
06/30/2021,WESTERN NEW YORK,19,5
07/01/2021,CAPITAL REGION,7,5
07/01/2021,CENTRAL NEW YORK,10,5
07/01/2021,FINGER LAKES,32,7
07/01/2021,LONG ISLAND,64,13
07/01/2021,MID-HUDSON,24,6
07/01/2021,MOHAWK VALLEY,7,0
07/01/2021,NEW YORK CITY,171,40
07/01/2021,NORTH COUNTRY,4,0
07/01/2021,SOUTHERN TIER,10,2
07/01/2021,WESTERN NEW YORK,20,5
07/02/2021,CAPITAL REGION,6,4
07/02/2021,CENTRAL NEW YORK,9,5
07/02/2021,FINGER LAKES,26,5
07/02/2021,LONG ISLAND,62,13
07/02/2021,MID-HUDSON,27,7
07/02/2021,MOHAWK VALLEY,5,0
07/02/2021,NEW YORK CITY,169,38
07/02/2021,NORTH COUNTRY,3,0
07/02/2021,SOUTHERN TIER,11,2
07/02/2021,WESTERN NEW YORK,22,5
07/03/2021,CAPITAL REGION,7,5
07/03/2021,CENTRAL NEW YORK,10,5
07/03/2021,FINGER LAKES,26,6
07/03/2021,LONG ISLAND,60,14
07/03/2021,MID-HUDSON,28,7
07/03/2021,MOHAWK VALLEY,4,0
07/03/2021,NEW YORK CITY,170,41
07/03/2021,NORTH COUNTRY,3,0
07/03/2021,SOUTHERN TIER,11,1
07/03/2021,WESTERN NEW YORK,23,6
07/04/2021,CAPITAL REGION,7,5
07/04/2021,CENTRAL NEW YORK,12,5
07/04/2021,FINGER LAKES,20,5
07/04/2021,LONG ISLAND,59,12
07/04/2021,MID-HUDSON,25,7
07/04/2021,MOHAWK VALLEY,4,0
07/04/2021,NEW YORK CITY,162,39
07/04/2021,NORTH COUNTRY,3,0
07/04/2021,SOUTHERN TIER,13,1
07/04/2021,WESTERN NEW YORK,25,6
07/05/2021,CAPITAL REGION,7,3
07/05/2021,CENTRAL NEW YORK,12,3
07/05/2021,FINGER LAKES,29,6
07/05/2021,LONG ISLAND,59,12
07/05/2021,MID-HUDSON,27,7
07/05/2021,MOHAWK VALLEY,5,0
07/05/2021,NEW YORK CITY,168,39
07/05/2021,NORTH COUNTRY,2,0
07/05/2021,SOUTHERN TIER,13,1
07/05/2021,WESTERN NEW YORK,25,7
07/06/2021,CAPITAL REGION,7,3
07/06/2021,CENTRAL NEW YORK,11,3
07/06/2021,FINGER LAKES,28,6
07/06/2021,LONG ISLAND,65,14
07/06/2021,MID-HUDSON,30,5
07/06/2021,MOHAWK VALLEY,6,0
07/06/2021,NEW YORK CITY,169,38
07/06/2021,NORTH COUNTRY,2,0
07/06/2021,SOUTHERN TIER,15,2
07/06/2021,WESTERN NEW YORK,21,6
07/07/2021,CAPITAL REGION,6,3
07/07/2021,CENTRAL NEW YORK,11,3
07/07/2021,FINGER LAKES,32,6
07/07/2021,LONG ISLAND,59,13
07/07/2021,MID-HUDSON,34,8
07/07/2021,MOHAWK VALLEY,8,0
07/07/2021,NEW YORK CITY,163,40
07/07/2021,NORTH COUNTRY,2,0
07/07/2021,SOUTHERN TIER,11,1
07/07/2021,WESTERN NEW YORK,21,6
07/08/2021,CAPITAL REGION,5,2
07/08/2021,CENTRAL NEW YORK,9,3
07/08/2021,FINGER LAKES,35,8
07/08/2021,LONG ISLAND,60,11
07/08/2021,MID-HUDSON,34,7
07/08/2021,MOHAWK VALLEY,8,0
07/08/2021,NEW YORK CITY,170,38
07/08/2021,NORTH COUNTRY,1,0
07/08/2021,SOUTHERN TIER,9,0
07/08/2021,WESTERN NEW YORK,18,4
07/09/2021,CAPITAL REGION,6,1
07/09/2021,CENTRAL NEW YORK,9,4
07/09/2021,FINGER LAKES,32,8
07/09/2021,LONG ISLAND,50,6
07/09/2021,MID-HUDSON,36,5
07/09/2021,MOHAWK VALLEY,7,2
07/09/2021,NEW YORK CITY,174,42
07/09/2021,NORTH COUNTRY,2,0
07/09/2021,SOUTHERN TIER,11,1
07/09/2021,WESTERN NEW YORK,15,4
07/10/2021,CAPITAL REGION,8,1
07/10/2021,CENTRAL NEW YORK,10,4
07/10/2021,FINGER LAKES,32,8
07/10/2021,LONG ISLAND,54,6
07/10/2021,MID-HUDSON,33,4
07/10/2021,MOHAWK VALLEY,7,2
07/10/2021,NEW YORK CITY,166,42
07/10/2021,NORTH COUNTRY,2,0
07/10/2021,SOUTHERN TIER,12,2
07/10/2021,WESTERN NEW YORK,15,5
07/11/2021,CAPITAL REGION,7,1
07/11/2021,CENTRAL NEW YORK,12,4
07/11/2021,FINGER LAKES,33,8
07/11/2021,LONG ISLAND,55,7
07/11/2021,MID-HUDSON,35,6
07/11/2021,MOHAWK VALLEY,8,3
07/11/2021,NEW YORK CITY,171,42
07/11/2021,NORTH COUNTRY,3,0
07/11/2021,SOUTHERN TIER,9,2
07/11/2021,WESTERN NEW YORK,15,5
07/12/2021,CAPITAL REGION,10,2
07/12/2021,CENTRAL NEW YORK,11,6
07/12/2021,FINGER LAKES,36,9
07/12/2021,LONG ISLAND,53,9
07/12/2021,MID-HUDSON,40,5
07/12/2021,MOHAWK VALLEY,8,2
07/12/2021,NEW YORK CITY,165,41
07/12/2021,NORTH COUNTRY,2,0
07/12/2021,SOUTHERN TIER,9,2
07/12/2021,WESTERN NEW YORK,15,4
07/13/2021,CAPITAL REGION,12,2
07/13/2021,CENTRAL NEW YORK,9,4
07/13/2021,FINGER LAKES,36,8
07/13/2021,LONG ISLAND,55,12
07/13/2021,MID-HUDSON,37,2
07/13/2021,MOHAWK VALLEY,7,1
07/13/2021,NEW YORK CITY,167,43
07/13/2021,NORTH COUNTRY,1,0
07/13/2021,SOUTHERN TIER,9,2
07/13/2021,WESTERN NEW YORK,16,5
07/14/2021,CAPITAL REGION,11,2
07/14/2021,CENTRAL NEW YORK,12,5
07/14/2021,FINGER LAKES,33,9
07/14/2021,LONG ISLAND,54,14
07/14/2021,MID-HUDSON,29,1
07/14/2021,MOHAWK VALLEY,8,1
07/14/2021,NEW YORK CITY,168,35
07/14/2021,NORTH COUNTRY,2,0
07/14/2021,SOUTHERN TIER,9,2
07/14/2021,WESTERN NEW YORK,14,6
07/15/2021,CAPITAL REGION,8,2
07/15/2021,CENTRAL NEW YORK,13,7
07/15/2021,FINGER LAKES,31,5
07/15/2021,LONG ISLAND,53,15
07/15/2021,MID-HUDSON,30,1
07/15/2021,MOHAWK VALLEY,8,1
07/15/2021,NEW YORK CITY,194,39
07/15/2021,NORTH COUNTRY,1,0
07/15/2021,SOUTHERN TIER,8,3
07/15/2021,WESTERN NEW YORK,14,6
07/16/2021,CAPITAL REGION,7,3
07/16/2021,CENTRAL NEW YORK,13,7
07/16/2021,FINGER LAKES,30,4
07/16/2021,LONG ISLAND,59,12
07/16/2021,MID-HUDSON,29,1
07/16/2021,MOHAWK VALLEY,9,2
07/16/2021,NEW YORK CITY,179,42
07/16/2021,NORTH COUNTRY,1,0
07/16/2021,SOUTHERN TIER,10,4
07/16/2021,WESTERN NEW YORK,17,4
07/17/2021,CAPITAL REGION,8,2
07/17/2021,CENTRAL NEW YORK,15,5
07/17/2021,FINGER LAKES,24,4
07/17/2021,LONG ISLAND,57,13
07/17/2021,MID-HUDSON,32,1
07/17/2021,MOHAWK VALLEY,9,2
07/17/2021,NEW YORK CITY,178,44
07/17/2021,NORTH COUNTRY,1,0
07/17/2021,SOUTHERN TIER,9,4
07/17/2021,WESTERN NEW YORK,19,4
07/18/2021,CAPITAL REGION,9,2
07/18/2021,CENTRAL NEW YORK,15,5
07/18/2021,FINGER LAKES,27,4
07/18/2021,LONG ISLAND,57,10
07/18/2021,MID-HUDSON,31,1
07/18/2021,MOHAWK VALLEY,9,2
07/18/2021,NEW YORK CITY,200,46
07/18/2021,NORTH COUNTRY,1,0
07/18/2021,SOUTHERN TIER,9,4
07/18/2021,WESTERN NEW YORK,20,5
07/19/2021,CAPITAL REGION,11,2
07/19/2021,CENTRAL NEW YORK,14,4
07/19/2021,FINGER LAKES,21,3
07/19/2021,LONG ISLAND,65,17
07/19/2021,MID-HUDSON,33,1
07/19/2021,MOHAWK VALLEY,10,1
07/19/2021,NEW YORK CITY,228,51
07/19/2021,NORTH COUNTRY,1,0
07/19/2021,SOUTHERN TIER,9,4
07/19/2021,WESTERN NEW YORK,32,6
07/20/2021,CAPITAL REGION,14,5
07/20/2021,CENTRAL NEW YORK,14,5
07/20/2021,FINGER LAKES,22,1
07/20/2021,LONG ISLAND,77,22
07/20/2021,MID-HUDSON,36,2
07/20/2021,MOHAWK VALLEY,7,1
07/20/2021,NEW YORK CITY,249,52
07/20/2021,NORTH COUNTRY,1,0
07/20/2021,SOUTHERN TIER,12,4
07/20/2021,WESTERN NEW YORK,30,8
07/21/2021,CAPITAL REGION,16,5
07/21/2021,CENTRAL NEW YORK,14,6
07/21/2021,FINGER LAKES,21,1
07/21/2021,LONG ISLAND,95,25
07/21/2021,MID-HUDSON,41,2
07/21/2021,MOHAWK VALLEY,8,2
07/21/2021,NEW YORK CITY,243,54
07/21/2021,NORTH COUNTRY,1,0
07/21/2021,SOUTHERN TIER,8,2
07/21/2021,WESTERN NEW YORK,36,8
07/22/2021,CAPITAL REGION,20,5
07/22/2021,CENTRAL NEW YORK,13,5
07/22/2021,FINGER LAKES,20,1
07/22/2021,LONG ISLAND,84,26
07/22/2021,MID-HUDSON,45,2
07/22/2021,MOHAWK VALLEY,6,2
07/22/2021,NEW YORK CITY,253,58
07/22/2021,NORTH COUNTRY,3,0
07/22/2021,SOUTHERN TIER,11,2
07/22/2021,WESTERN NEW YORK,37,8
07/23/2021,CAPITAL REGION,19,5
07/23/2021,CENTRAL NEW YORK,11,4
07/23/2021,FINGER LAKES,15,1
07/23/2021,LONG ISLAND,87,23
07/23/2021,MID-HUDSON,42,3
07/23/2021,MOHAWK VALLEY,4,1
07/23/2021,NEW YORK CITY,261,68
07/23/2021,NORTH COUNTRY,3,1
07/23/2021,SOUTHERN TIER,12,3
07/23/2021,WESTERN NEW YORK,40,9
07/24/2021,CAPITAL REGION,18,4
07/24/2021,CENTRAL NEW YORK,13,5
07/24/2021,FINGER LAKES,15,1
07/24/2021,LONG ISLAND,90,26
07/24/2021,MID-HUDSON,43,2
07/24/2021,MOHAWK VALLEY,4,1
07/24/2021,NEW YORK CITY,266,70
07/24/2021,NORTH COUNTRY,3,1
07/24/2021,SOUTHERN TIER,15,2
07/24/2021,WESTERN NEW YORK,38,8
07/25/2021,CAPITAL REGION,24,5
07/25/2021,CENTRAL NEW YORK,14,4
07/25/2021,FINGER LAKES,21,2
07/25/2021,LONG ISLAND,98,27
07/25/2021,MID-HUDSON,44,4
07/25/2021,MOHAWK VALLEY,5,1
07/25/2021,NEW YORK CITY,284,70
07/25/2021,NORTH COUNTRY,4,1
07/25/2021,SOUTHERN TIER,14,1
07/25/2021,WESTERN NEW YORK,38,8
07/26/2021,CAPITAL REGION,25,5
07/26/2021,CENTRAL NEW YORK,15,5
07/26/2021,FINGER LAKES,21,3
07/26/2021,LONG ISLAND,113,19
07/26/2021,MID-HUDSON,43,3
07/26/2021,MOHAWK VALLEY,4,1
07/26/2021,NEW YORK CITY,308,73
07/26/2021,NORTH COUNTRY,4,1
07/26/2021,SOUTHERN TIER,13,1
07/26/2021,WESTERN NEW YORK,39,7
07/27/2021,CAPITAL REGION,26,5
07/27/2021,CENTRAL NEW YORK,12,7
07/27/2021,FINGER LAKES,22,4
07/27/2021,LONG ISLAND,114,21
07/27/2021,MID-HUDSON,42,5
07/27/2021,MOHAWK VALLEY,6,0
07/27/2021,NEW YORK CITY,316,73
07/27/2021,NORTH COUNTRY,5,1
07/27/2021,SOUTHERN TIER,10,2
07/27/2021,WESTERN NEW YORK,38,8
07/28/2021,CAPITAL REGION,28,5
07/28/2021,CENTRAL NEW YORK,16,8
07/28/2021,FINGER LAKES,24,3
07/28/2021,LONG ISLAND,115,18
07/28/2021,MID-HUDSON,48,5
07/28/2021,MOHAWK VALLEY,7,0
07/28/2021,NEW YORK CITY,315,74
07/28/2021,NORTH COUNTRY,5,1
07/28/2021,SOUTHERN TIER,11,3
07/28/2021,WESTERN NEW YORK,42,9
07/29/2021,CAPITAL REGION,31,5
07/29/2021,CENTRAL NEW YORK,16,8
07/29/2021,FINGER LAKES,27,3
07/29/2021,LONG ISLAND,118,21
07/29/2021,MID-HUDSON,55,4
07/29/2021,MOHAWK VALLEY,9,0
07/29/2021,NEW YORK CITY,340,75
07/29/2021,NORTH COUNTRY,5,1
07/29/2021,SOUTHERN TIER,13,4
07/29/2021,WESTERN NEW YORK,43,13
07/30/2021,CAPITAL REGION,34,6
07/30/2021,CENTRAL NEW YORK,17,8
07/30/2021,FINGER LAKES,32,4
07/30/2021,LONG ISLAND,123,18
07/30/2021,MID-HUDSON,54,4
07/30/2021,MOHAWK VALLEY,9,0
07/30/2021,NEW YORK CITY,359,76
07/30/2021,NORTH COUNTRY,5,2
07/30/2021,SOUTHERN TIER,14,4
07/30/2021,WESTERN NEW YORK,52,14
07/31/2021,CAPITAL REGION,35,5
07/31/2021,CENTRAL NEW YORK,15,6
07/31/2021,FINGER LAKES,36,4
07/31/2021,LONG ISLAND,129,22
07/31/2021,MID-HUDSON,57,6
07/31/2021,MOHAWK VALLEY,13,0
07/31/2021,NEW YORK CITY,378,91
07/31/2021,NORTH COUNTRY,6,1
07/31/2021,SOUTHERN TIER,13,3
07/31/2021,WESTERN NEW YORK,56,14
08/01/2021,CAPITAL REGION,43,6
08/01/2021,CENTRAL NEW YORK,17,7
08/01/2021,FINGER LAKES,37,4
08/01/2021,LONG ISLAND,140,25
08/01/2021,MID-HUDSON,57,9
08/01/2021,MOHAWK VALLEY,12,1
08/01/2021,NEW YORK CITY,406,91
08/01/2021,NORTH COUNTRY,7,2
08/01/2021,SOUTHERN TIER,12,3
08/01/2021,WESTERN NEW YORK,57,14
08/02/2021,CAPITAL REGION,54,7
08/02/2021,CENTRAL NEW YORK,23,7
08/02/2021,FINGER LAKES,41,5
08/02/2021,LONG ISLAND,156,30
08/02/2021,MID-HUDSON,62,12
08/02/2021,MOHAWK VALLEY,12,1
08/02/2021,NEW YORK CITY,422,91
08/02/2021,NORTH COUNTRY,10,3
08/02/2021,SOUTHERN TIER,16,3
08/02/2021,WESTERN NEW YORK,56,13
08/03/2021,CAPITAL REGION,57,8
08/03/2021,CENTRAL NEW YORK,28,9
08/03/2021,FINGER LAKES,44,4
08/03/2021,LONG ISLAND,166,35
08/03/2021,MID-HUDSON,84,11
08/03/2021,MOHAWK VALLEY,15,1
08/03/2021,NEW YORK CITY,413,97
08/03/2021,NORTH COUNTRY,12,3
08/03/2021,SOUTHERN TIER,18,3
08/03/2021,WESTERN NEW YORK,65,15
08/04/2021,CAPITAL REGION,56,10
08/04/2021,CENTRAL NEW YORK,30,9
08/04/2021,FINGER LAKES,47,3
08/04/2021,LONG ISLAND,187,35
08/04/2021,MID-HUDSON,87,11
08/04/2021,MOHAWK VALLEY,17,1
08/04/2021,NEW YORK CITY,448,98
08/04/2021,NORTH COUNTRY,15,3
08/04/2021,SOUTHERN TIER,21,3
08/04/2021,WESTERN NEW YORK,70,16
08/05/2021,CAPITAL REGION,58,12
08/05/2021,CENTRAL NEW YORK,30,9
08/05/2021,FINGER LAKES,45,3
08/05/2021,LONG ISLAND,212,40
08/05/2021,MID-HUDSON,104,13
08/05/2021,MOHAWK VALLEY,18,4
08/05/2021,NEW YORK CITY,474,106
08/05/2021,NORTH COUNTRY,15,3
08/05/2021,SOUTHERN TIER,23,5
08/05/2021,WESTERN NEW YORK,71,18
08/06/2021,CAPITAL REGION,57,15
08/06/2021,CENTRAL NEW YORK,30,8
08/06/2021,FINGER LAKES,54,7
08/06/2021,LONG ISLAND,221,39
08/06/2021,MID-HUDSON,117,14
08/06/2021,MOHAWK VALLEY,20,4
08/06/2021,NEW YORK CITY,502,115
08/06/2021,NORTH COUNTRY,21,4
08/06/2021,SOUTHERN TIER,29,6
08/06/2021,WESTERN NEW YORK,70,20
08/07/2021,CAPITAL REGION,58,16
08/07/2021,CENTRAL NEW YORK,30,8
08/07/2021,FINGER LAKES,57,8
08/07/2021,LONG ISLAND,233,49
08/07/2021,MID-HUDSON,124,18
08/07/2021,MOHAWK VALLEY,13,6
08/07/2021,NEW YORK CITY,527,107
08/07/2021,NORTH COUNTRY,15,3
08/07/2021,SOUTHERN TIER,32,6
08/07/2021,WESTERN NEW YORK,73,18
08/08/2021,CAPITAL REGION,62,13
08/08/2021,CENTRAL NEW YORK,28,8
08/08/2021,FINGER LAKES,65,10
08/08/2021,LONG ISLAND,249,49
08/08/2021,MID-HUDSON,133,19
08/08/2021,MOHAWK VALLEY,18,5
08/08/2021,NEW YORK CITY,554,114
08/08/2021,NORTH COUNTRY,12,3
08/08/2021,SOUTHERN TIER,28,5
08/08/2021,WESTERN NEW YORK,76,20
08/09/2021,CAPITAL REGION,63,13
08/09/2021,CENTRAL NEW YORK,33,11
08/09/2021,FINGER LAKES,73,15
08/09/2021,LONG ISLAND,274,53
08/09/2021,MID-HUDSON,152,17
08/09/2021,MOHAWK VALLEY,22,5
08/09/2021,NEW YORK CITY,596,120
08/09/2021,NORTH COUNTRY,17,4
08/09/2021,SOUTHERN TIER,31,5
08/09/2021,WESTERN NEW YORK,84,20
08/10/2021,CAPITAL REGION,68,18
08/10/2021,CENTRAL NEW YORK,41,13
08/10/2021,FINGER LAKES,78,23
08/10/2021,LONG ISLAND,280,52
08/10/2021,MID-HUDSON,144,14
08/10/2021,MOHAWK VALLEY,23,5
08/10/2021,NEW YORK CITY,601,129
08/10/2021,NORTH COUNTRY,20,5
08/10/2021,SOUTHERN TIER,30,9
08/10/2021,WESTERN NEW YORK,82,20
08/11/2021,CAPITAL REGION,72,17
08/11/2021,CENTRAL NEW YORK,44,11
08/11/2021,FINGER LAKES,81,19
08/11/2021,LONG ISLAND,285,57
08/11/2021,MID-HUDSON,162,14
08/11/2021,MOHAWK VALLEY,26,6
08/11/2021,NEW YORK CITY,648,130
08/11/2021,NORTH COUNTRY,22,5
08/11/2021,SOUTHERN TIER,30,10
08/11/2021,WESTERN NEW YORK,78,20
08/12/2021,CAPITAL REGION,84,15
08/12/2021,CENTRAL NEW YORK,42,12
08/12/2021,FINGER LAKES,85,22
08/12/2021,LONG ISLAND,303,59
08/12/2021,MID-HUDSON,173,19
08/12/2021,MOHAWK VALLEY,28,6
08/12/2021,NEW YORK CITY,713,132
08/12/2021,NORTH COUNTRY,19,3
08/12/2021,SOUTHERN TIER,30,9
08/12/2021,WESTERN NEW YORK,84,21
08/13/2021,CAPITAL REGION,104,19
08/13/2021,CENTRAL NEW YORK,47,15
08/13/2021,FINGER LAKES,96,25
08/13/2021,LONG ISLAND,315,67
08/13/2021,MID-HUDSON,174,24
08/13/2021,MOHAWK VALLEY,33,5
08/13/2021,NEW YORK CITY,738,153
08/13/2021,NORTH COUNTRY,19,3
08/13/2021,SOUTHERN TIER,36,11
08/13/2021,WESTERN NEW YORK,92,25
08/14/2021,CAPITAL REGION,98,18
08/14/2021,CENTRAL NEW YORK,47,15
08/14/2021,FINGER LAKES,97,28
08/14/2021,LONG ISLAND,307,62
08/14/2021,MID-HUDSON,181,24
08/14/2021,MOHAWK VALLEY,38,6
08/14/2021,NEW YORK CITY,732,166
08/14/2021,NORTH COUNTRY,20,2
08/14/2021,SOUTHERN TIER,37,9
08/14/2021,WESTERN NEW YORK,93,25
08/15/2021,CAPITAL REGION,103,20
08/15/2021,CENTRAL NEW YORK,57,14
08/15/2021,FINGER LAKES,100,30
08/15/2021,LONG ISLAND,318,64
08/15/2021,MID-HUDSON,191,21
08/15/2021,MOHAWK VALLEY,37,7
08/15/2021,NEW YORK CITY,754,166
08/15/2021,NORTH COUNTRY,21,4
08/15/2021,SOUTHERN TIER,38,9
08/15/2021,WESTERN NEW YORK,103,27
08/16/2021,CAPITAL REGION,100,20
08/16/2021,CENTRAL NEW YORK,64,15
08/16/2021,FINGER LAKES,106,32
08/16/2021,LONG ISLAND,335,59
08/16/2021,MID-HUDSON,201,27
08/16/2021,MOHAWK VALLEY,40,6
08/16/2021,NEW YORK CITY,796,168
08/16/2021,NORTH COUNTRY,22,4
08/16/2021,SOUTHERN TIER,44,11
08/16/2021,WESTERN NEW YORK,105,27
08/17/2021,CAPITAL REGION,106,22
08/17/2021,CENTRAL NEW YORK,61,16
08/17/2021,FINGER LAKES,109,34
08/17/2021,LONG ISLAND,368,59
08/17/2021,MID-HUDSON,208,32
08/17/2021,MOHAWK VALLEY,39,6
08/17/2021,NEW YORK CITY,820,168
08/17/2021,NORTH COUNTRY,19,5
08/17/2021,SOUTHERN TIER,45,10
08/17/2021,WESTERN NEW YORK,113,29
08/18/2021,CAPITAL REGION,107,25
08/18/2021,CENTRAL NEW YORK,64,15
08/18/2021,FINGER LAKES,110,34
08/18/2021,LONG ISLAND,380,59
08/18/2021,MID-HUDSON,216,37
08/18/2021,MOHAWK VALLEY,45,7
08/18/2021,NEW YORK CITY,846,170
08/18/2021,NORTH COUNTRY,18,5
08/18/2021,SOUTHERN TIER,47,10
08/18/2021,WESTERN NEW YORK,104,29
08/19/2021,CAPITAL REGION,109,23
08/19/2021,CENTRAL NEW YORK,69,21
08/19/2021,FINGER LAKES,118,37
08/19/2021,LONG ISLAND,373,54
08/19/2021,MID-HUDSON,212,38
08/19/2021,MOHAWK VALLEY,44,8
08/19/2021,NEW YORK CITY,839,175
08/19/2021,NORTH COUNTRY,19,6
08/19/2021,SOUTHERN TIER,47,14
08/19/2021,WESTERN NEW YORK,104,25
08/20/2021,CAPITAL REGION,111,24
08/20/2021,CENTRAL NEW YORK,73,23
08/20/2021,FINGER LAKES,134,39
08/20/2021,LONG ISLAND,390,57
08/20/2021,MID-HUDSON,215,36
08/20/2021,MOHAWK VALLEY,43,8
08/20/2021,NEW YORK CITY,823,170
08/20/2021,NORTH COUNTRY,22,8
08/20/2021,SOUTHERN TIER,50,15
08/20/2021,WESTERN NEW YORK,117,27
08/21/2021,CAPITAL REGION,114,27
08/21/2021,CENTRAL NEW YORK,76,23
08/21/2021,FINGER LAKES,125,31
08/21/2021,LONG ISLAND,389,63
08/21/2021,MID-HUDSON,200,32
08/21/2021,MOHAWK VALLEY,41,9
08/21/2021,NEW YORK CITY,818,175
08/21/2021,NORTH COUNTRY,28,9
08/21/2021,SOUTHERN TIER,49,9
08/21/2021,WESTERN NEW YORK,113,26
08/22/2021,CAPITAL REGION,121,26
08/22/2021,CENTRAL NEW YORK,87,23
08/22/2021,FINGER LAKES,145,30
08/22/2021,LONG ISLAND,387,64
08/22/2021,MID-HUDSON,211,38
08/22/2021,MOHAWK VALLEY,43,7
08/22/2021,NEW YORK CITY,835,171
08/22/2021,NORTH COUNTRY,25,6
08/22/2021,SOUTHERN TIER,50,11
08/22/2021,WESTERN NEW YORK,113,31
08/23/2021,CAPITAL REGION,127,25
08/23/2021,CENTRAL NEW YORK,93,24
08/23/2021,FINGER LAKES,149,40
08/23/2021,LONG ISLAND,394,62
08/23/2021,MID-HUDSON,221,38
08/23/2021,MOHAWK VALLEY,43,9
08/23/2021,NEW YORK CITY,878,169
08/23/2021,NORTH COUNTRY,27,5
08/23/2021,SOUTHERN TIER,50,10
08/23/2021,WESTERN NEW YORK,121,34
08/24/2021,CAPITAL REGION,121,23
08/24/2021,CENTRAL NEW YORK,91,20
08/24/2021,FINGER LAKES,151,46
08/24/2021,LONG ISLAND,404,61
08/24/2021,MID-HUDSON,246,41
08/24/2021,MOHAWK VALLEY,46,7
08/24/2021,NEW YORK CITY,875,170
08/24/2021,NORTH COUNTRY,31,5
08/24/2021,SOUTHERN TIER,56,11
08/24/2021,WESTERN NEW YORK,122,38
08/25/2021,CAPITAL REGION,126,23
08/25/2021,CENTRAL NEW YORK,104,24
08/25/2021,FINGER LAKES,147,46
08/25/2021,LONG ISLAND,419,67
08/25/2021,MID-HUDSON,242,41
08/25/2021,MOHAWK VALLEY,50,9
08/25/2021,NEW YORK CITY,880,173
08/25/2021,NORTH COUNTRY,32,6
08/25/2021,SOUTHERN TIER,52,12
08/25/2021,WESTERN NEW YORK,139,40
08/26/2021,CAPITAL REGION,125,24
08/26/2021,CENTRAL NEW YORK,108,24
08/26/2021,FINGER LAKES,156,44
08/26/2021,LONG ISLAND,441,64
08/26/2021,MID-HUDSON,246,43
08/26/2021,MOHAWK VALLEY,55,10
08/26/2021,NEW YORK CITY,863,176
08/26/2021,NORTH COUNTRY,36,8
08/26/2021,SOUTHERN TIER,56,13
08/26/2021,WESTERN NEW YORK,144,40
08/27/2021,CAPITAL REGION,132,24
08/27/2021,CENTRAL NEW YORK,101,23
08/27/2021,FINGER LAKES,157,44
08/27/2021,LONG ISLAND,460,73
08/27/2021,MID-HUDSON,253,47
08/27/2021,MOHAWK VALLEY,57,12
08/27/2021,NEW YORK CITY,869,186
08/27/2021,NORTH COUNTRY,35,10
08/27/2021,SOUTHERN TIER,56,11
08/27/2021,WESTERN NEW YORK,131,35
08/28/2021,CAPITAL REGION,114,27
08/28/2021,CENTRAL NEW YORK,101,19
08/28/2021,FINGER LAKES,155,45
08/28/2021,LONG ISLAND,441,61
08/28/2021,MID-HUDSON,242,40
08/28/2021,MOHAWK VALLEY,53,12
08/28/2021,NEW YORK CITY,830,184
08/28/2021,NORTH COUNTRY,30,9
08/28/2021,SOUTHERN TIER,54,10
08/28/2021,WESTERN NEW YORK,128,38
08/29/2021,CAPITAL REGION,107,28
08/29/2021,CENTRAL NEW YORK,98,18
08/29/2021,FINGER LAKES,157,45
08/29/2021,LONG ISLAND,449,73
08/29/2021,MID-HUDSON,250,43
08/29/2021,MOHAWK VALLEY,57,13
