As of Date,Region,Total Patients Hospitalized,Total Patients in ICU
05/08/2020,WESTERN NEW YORK,202,84
05/09/2020,CAPITAL REGION,98,34
05/09/2020,CENTRAL NEW YORK,52,12
05/09/2020,FINGER LAKES,124,34
05/09/2020,LONG ISLAND,1339,487
05/09/2020,MID-HUDSON,849,256
05/09/2020,MOHAWK VALLEY,33,13
05/09/2020,NEW YORK CITY,4533,1561
05/09/2020,NORTH COUNTRY,8,1
05/09/2020,SOUTHERN TIER,21,8
05/09/2020,WESTERN NEW YORK,205,82
05/10/2020,CAPITAL REGION,103,31
05/10/2020,CENTRAL NEW YORK,54,12
05/10/2020,FINGER LAKES,128,35
05/10/2020,LONG ISLAND,1296,467
05/10/2020,MID-HUDSON,850,263
05/10/2020,MOHAWK VALLEY,33,10
05/10/2020,NEW YORK CITY,4527,1547
05/10/2020,NORTH COUNTRY,7,1
05/10/2020,SOUTHERN TIER,21,8
05/10/2020,WESTERN NEW YORK,207,76
05/11/2020,CAPITAL REGION,104,31
05/11/2020,CENTRAL NEW YORK,58,14
05/11/2020,FINGER LAKES,134,36
05/11/2020,LONG ISLAND,1282,439
05/11/2020,MID-HUDSON,842,254
05/11/2020,MOHAWK VALLEY,35,11
05/11/2020,NEW YORK CITY,4365,1507
05/11/2020,NORTH COUNTRY,8,1
05/11/2020,SOUTHERN TIER,21,8
05/11/2020,WESTERN NEW YORK,214,74
05/12/2020,CAPITAL REGION,121,33
05/12/2020,CENTRAL NEW YORK,60,18
05/12/2020,FINGER LAKES,133,34
05/12/2020,LONG ISLAND,1287,412
05/12/2020,MID-HUDSON,808,243
05/12/2020,MOHAWK VALLEY,35,11
05/12/2020,NEW YORK CITY,4263,1482
05/12/2020,NORTH COUNTRY,7,1
05/12/2020,SOUTHERN TIER,24,9
05/12/2020,WESTERN NEW YORK,208,65
05/13/2020,CAPITAL REGION,118,31
05/13/2020,CENTRAL NEW YORK,64,20
05/13/2020,FINGER LAKES,141,33
05/13/2020,LONG ISLAND,1231,409
05/13/2020,MID-HUDSON,790,239
05/13/2020,MOHAWK VALLEY,32,13
05/13/2020,NEW YORK CITY,4086,1400
05/13/2020,NORTH COUNTRY,6,1
05/13/2020,SOUTHERN TIER,24,9
05/13/2020,WESTERN NEW YORK,214,68
05/14/2020,CAPITAL REGION,110,28
05/14/2020,CENTRAL NEW YORK,65,20
05/14/2020,FINGER LAKES,143,36
05/14/2020,LONG ISLAND,1189,400
05/14/2020,MID-HUDSON,796,238
05/14/2020,MOHAWK VALLEY,38,13
05/14/2020,NEW YORK CITY,3820,1350
05/14/2020,NORTH COUNTRY,6,1
05/14/2020,SOUTHERN TIER,23,8
05/14/2020,WESTERN NEW YORK,204,62
05/15/2020,CAPITAL REGION,112,26
05/15/2020,CENTRAL NEW YORK,68,19
05/15/2020,FINGER LAKES,156,38
05/15/2020,LONG ISLAND,1160,377
05/15/2020,MID-HUDSON,784,223
05/15/2020,MOHAWK VALLEY,36,16
05/15/2020,NEW YORK CITY,3685,1309
05/15/2020,NORTH COUNTRY,7,1
05/15/2020,SOUTHERN TIER,23,9
05/15/2020,WESTERN NEW YORK,189,59
05/16/2020,CAPITAL REGION,108,23
05/16/2020,CENTRAL NEW YORK,70,16
05/16/2020,FINGER LAKES,163,35
05/16/2020,LONG ISLAND,1129,361
05/16/2020,MID-HUDSON,751,221
05/16/2020,MOHAWK VALLEY,41,16
05/16/2020,NEW YORK CITY,3420,1245
05/16/2020,NORTH COUNTRY,6,1
05/16/2020,SOUTHERN TIER,20,8
05/16/2020,WESTERN NEW YORK,189,55
05/17/2020,CAPITAL REGION,110,20
05/17/2020,CENTRAL NEW YORK,75,16
05/17/2020,FINGER LAKES,167,34
05/17/2020,LONG ISLAND,1099,339
05/17/2020,MID-HUDSON,738,211
05/17/2020,MOHAWK VALLEY,43,15
05/17/2020,NEW YORK CITY,3385,1207
05/17/2020,NORTH COUNTRY,6,0
05/17/2020,SOUTHERN TIER,20,8
05/17/2020,WESTERN NEW YORK,197,58
05/18/2020,CAPITAL REGION,113,21
05/18/2020,CENTRAL NEW YORK,77,17
05/18/2020,FINGER LAKES,180,36
05/18/2020,LONG ISLAND,1104,322
05/18/2020,MID-HUDSON,739,206
05/18/2020,MOHAWK VALLEY,46,16
05/18/2020,NEW YORK CITY,3337,1158
05/18/2020,NORTH COUNTRY,6,0
05/18/2020,SOUTHERN TIER,18,8
05/18/2020,WESTERN NEW YORK,198,52
05/19/2020,CAPITAL REGION,114,19
05/19/2020,CENTRAL NEW YORK,84,19
05/19/2020,FINGER LAKES,170,29
05/19/2020,LONG ISLAND,1017,307
05/19/2020,MID-HUDSON,708,200
05/19/2020,MOHAWK VALLEY,48,14
05/19/2020,NEW YORK CITY,3204,1116
05/19/2020,NORTH COUNTRY,3,0
05/19/2020,SOUTHERN TIER,19,8
05/19/2020,WESTERN NEW YORK,203,49
05/20/2020,CAPITAL REGION,108,16
05/20/2020,CENTRAL NEW YORK,80,18
05/20/2020,FINGER LAKES,175,29
05/20/2020,LONG ISLAND,956,310
05/20/2020,MID-HUDSON,680,196
05/20/2020,MOHAWK VALLEY,50,13
05/20/2020,NEW YORK CITY,2924,1061
05/20/2020,NORTH COUNTRY,3,0
05/20/2020,SOUTHERN TIER,19,7
05/20/2020,WESTERN NEW YORK,192,45
05/21/2020,CAPITAL REGION,96,11
05/21/2020,CENTRAL NEW YORK,76,16
05/21/2020,FINGER LAKES,186,28
05/21/2020,LONG ISLAND,890,285
05/21/2020,MID-HUDSON,617,180
05/21/2020,MOHAWK VALLEY,48,12
05/21/2020,NEW YORK CITY,2730,1000
05/21/2020,NORTH COUNTRY,3,0
05/21/2020,SOUTHERN TIER,17,8
05/21/2020,WESTERN NEW YORK,181,41
05/22/2020,CAPITAL REGION,99,9
05/22/2020,CENTRAL NEW YORK,80,18
05/22/2020,FINGER LAKES,193,28
05/22/2020,LONG ISLAND,834,278
05/22/2020,MID-HUDSON,592,171
05/22/2020,MOHAWK VALLEY,53,15
05/22/2020,NEW YORK CITY,2593,930
05/22/2020,NORTH COUNTRY,4,0
05/22/2020,SOUTHERN TIER,17,8
05/22/2020,WESTERN NEW YORK,177,45
05/23/2020,CAPITAL REGION,96,9
05/23/2020,CENTRAL NEW YORK,74,19
05/23/2020,FINGER LAKES,191,29
05/23/2020,LONG ISLAND,767,250
05/23/2020,MID-HUDSON,561,144
05/23/2020,MOHAWK VALLEY,54,14
05/23/2020,NEW YORK CITY,2460,893
05/23/2020,NORTH COUNTRY,3,0
05/23/2020,SOUTHERN TIER,20,10
05/23/2020,WESTERN NEW YORK,167,38
05/24/2020,CAPITAL REGION,97,10
05/24/2020,CENTRAL NEW YORK,74,20
05/24/2020,FINGER LAKES,192,31
05/24/2020,LONG ISLAND,745,233
05/24/2020,MID-HUDSON,544,139
05/24/2020,MOHAWK VALLEY,55,14
05/24/2020,NEW YORK CITY,2453,871
05/24/2020,NORTH COUNTRY,3,0
05/24/2020,SOUTHERN TIER,21,11
05/24/2020,WESTERN NEW YORK,164,37
05/25/2020,CAPITAL REGION,96,10
05/25/2020,CENTRAL NEW YORK,77,20
05/25/2020,FINGER LAKES,199,32
05/25/2020,LONG ISLAND,712,221
05/25/2020,MID-HUDSON,515,141
05/25/2020,MOHAWK VALLEY,62,15
05/25/2020,NEW YORK CITY,2416,788
05/25/2020,NORTH COUNTRY,3,0
05/25/2020,SOUTHERN TIER,20,10
05/25/2020,WESTERN NEW YORK,165,36
05/26/2020,CAPITAL REGION,101,11
05/26/2020,CENTRAL NEW YORK,82,21
05/26/2020,FINGER LAKES,206,34
05/26/2020,LONG ISLAND,690,213
05/26/2020,MID-HUDSON,509,146
05/26/2020,MOHAWK VALLEY,63,12
05/26/2020,NEW YORK CITY,2368,776
05/26/2020,NORTH COUNTRY,3,0
05/26/2020,SOUTHERN TIER,24,13
05/26/2020,WESTERN NEW YORK,162,35
05/27/2020,CAPITAL REGION,96,13
05/27/2020,CENTRAL NEW YORK,73,16
05/27/2020,FINGER LAKES,206,35
05/27/2020,LONG ISLAND,668,200
05/27/2020,MID-HUDSON,493,141
05/27/2020,MOHAWK VALLEY,53,11
05/27/2020,NEW YORK CITY,2236,758
05/27/2020,NORTH COUNTRY,2,0
05/27/2020,SOUTHERN TIER,24,12
05/27/2020,WESTERN NEW YORK,159,33
05/28/2020,CAPITAL REGION,91,11
